mode,particle_capacity,update_ms,render_ms,frame_ms,fps
CPU,640000,2.190047,0.080502,4.147358,241.117366
CPU,640000,2.115951,0.081575,4.111543,243.21768
CPU,640000,2.184734,0.084606,4.201021,238.037372
CPU,640000,2.246522,0.092906,4.168511,239.893823
CPU,640000,2.26366,0.10129,4.17009,239.802954
CPU,640000,2.349149,0.112456,4.163915,240.158625
CPU,640000,2.418139,0.125118,4.168231,239.909938
CPU,640000,2.385016,0.122572,4.17011,239.801825
CPU,640000,2.455562,0.12969,4.167207,239.968852
CPU,640000,2.62734,0.144601,3.983284,251.049155
CPU,640000,2.525181,0.139963,3.941717,253.696554
CPU,640000,2.641156,0.148189,4.084212,244.845282
CPU,640000,2.731193,0.155652,4.167553,239.948987
CPU,640000,2.777009,0.161793,4.167132,239.973219
CPU,640000,2.862878,0.167778,4.167829,239.933059
CPU,640000,2.87964,0.173254,4.16738,239.958943
CPU,640000,2.945501,0.177051,4.167903,239.928837
CPU,640000,2.966424,0.182397,4.169085,239.860785
CPU,640000,2.996354,0.188854,3.995483,250.282619
CPU,640000,2.992013,0.179924,3.985298,250.922239
CPU,640000,3.065721,0.164291,4.023722,248.526105
CPU,640000,3.002181,0.162149,4.168064,239.919555
CPU,640000,3.000261,0.162147,4.167486,239.952825
CPU,640000,3.01932,0.162401,4.16779,239.935337
CPU,640000,3.006498,0.161057,4.168283,239.906916
CPU,640000,3.042695,0.161223,4.167375,239.959183
CPU,640000,3.018016,0.160527,4.168432,239.898331
CPU,640000,3.040893,0.163945,4.167925,239.927518
CPU,640000,3.052075,0.161861,4.167908,239.928525
CPU,640000,3.03577,0.160909,4.167149,239.972211
CPU,640000,3.072361,0.165148,4.167675,239.941934
CPU,640000,3.071152,0.161642,4.16718,239.970436
CPU,640000,3.022845,0.162254,4.168319,239.904878
CPU,640000,3.124609,0.163295,4.167369,239.959567
CPU,640000,3.05874,0.161586,4.168334,239.904006
CPU,640000,3.059765,0.162743,4.166746,239.995416
CPU,640000,3.094085,0.161417,4.167298,239.963622
CPU,640000,3.008628,0.160441,4.168254,239.908619
CPU,640000,3.054053,0.162498,4.167765,239.936729
CPU,640000,3.048487,0.161618,4.167483,239.952993
CPU,640000,3.064309,0.162941,4.168288,239.906652
CPU,640000,3.042488,0.160986,4.167727,239.93896
CPU,640000,3.05201,0.16162,4.16685,239.98944
CPU,640000,3.061746,0.162106,4.168722,239.881666
CPU,640000,3.077843,0.16157,4.167243,239.966837
CPU,640000,3.042417,0.161295,4.166534,240.007656
CPU,640000,3.064867,0.163372,4.166826,239.990832
CPU,640000,3.08646,0.161623,4.168465,239.896437
CPU,640000,3.08474,0.163214,4.167088,239.975738
CPU,640000,3.07033,0.163007,4.171763,239.706791
CPU,640000,3.067106,0.160288,4.163512,240.181866
CPU,640000,3.018866,0.161695,4.168114,239.916653
CPU,640000,3.033401,0.161692,4.168175,239.913133
CPU,640000,3.047673,0.160853,4.16653,240.007872
CPU,640000,3.05126,0.160677,4.167661,239.942726
CPU,640000,3.048862,0.16151,4.167785,239.935625
CPU,640000,3.035501,0.162232,4.167347,239.960838
CPU,640000,3.087864,0.162113,4.167537,239.949874
GPU,640000,0.397998,0.00865,4.1595,240.413511
GPU,640000,0.382192,0.009075,4.160729,240.342512
GPU,640000,0.381747,0.009698,4.168862,239.873587
GPU,640000,0.381495,0.010368,4.1682,239.911712
GPU,640000,0.381575,0.010883,4.168455,239.897036
GPU,640000,0.381491,0.011383,4.16816,239.914039
GPU,640000,0.381549,0.012052,4.169032,239.863846
GPU,640000,0.381355,0.012288,4.168653,239.885623
GPU,640000,0.381495,0.012659,4.168039,239.920994
GPU,640000,0.38118,0.012826,4.167998,239.923368
GPU,640000,0.381231,0.013325,4.168942,239.869008
GPU,640000,0.38071,0.013892,4.168452,239.89718
GPU,640000,0.379989,0.014199,4.168015,239.922361
GPU,640000,0.379635,0.014575,4.167898,239.929077
GPU,640000,0.380164,0.014933,4.168517,239.893439
GPU,640000,0.378953,0.015761,4.169384,239.843598
GPU,640000,0.381258,0.016067,4.167542,239.949576
GPU,640000,0.379635,0.016572,4.16902,239.864525
GPU,640000,0.37981,0.01699,4.167467,239.953905
GPU,640000,0.379465,0.017557,4.167957,239.925671
GPU,640000,0.378769,0.017963,4.168331,239.904158
GPU,640000,0.379507,0.017916,4.16913,239.85822
GPU,640000,0.379204,0.018189,4.167736,239.938408
GPU,640000,0.380322,0.017843,4.167934,239.927014
GPU,640000,0.379136,0.01783,4.169433,239.84077
GPU,640000,0.379985,0.017873,4.167396,239.957983
GPU,640000,0.379648,0.017826,4.169092,239.860401
GPU,640000,0.379403,0.017789,4.167918,239.927921
GPU,640000,0.37954,0.017789,4.169188,239.854864
GPU,640000,0.37862,0.01769,4.168397,239.900369
GPU,640000,0.379574,0.017699,4.1678,239.934762
GPU,640000,0.378377,0.017587,4.169363,239.84482
GPU,640000,0.379405,0.017971,4.167488,239.952705
GPU,640000,0.379959,0.017783,4.16933,239.846666
GPU,640000,0.380414,0.017862,4.167198,239.96938
GPU,640000,0.379695,0.017954,4.16853,239.89272
GPU,640000,0.380557,0.018031,4.168087,239.918236
GPU,640000,0.379664,0.017901,4.167781,239.935822
GPU,640000,0.379823,0.017882,4.168717,239.881954
GPU,640000,0.38007,0.017869,4.168696,239.883177
GPU,640000,0.379895,0.017916,4.168116,239.916557
GPU,640000,0.379989,0.01792,4.169195,239.85448
GPU,640000,0.379985,0.018005,4.167735,239.938504
GPU,640000,0.379802,0.017924,4.168961,239.867929
GPU,640000,0.380297,0.018069,4.168538,239.892288
GPU,640000,0.380164,0.017946,4.169198,239.854312
GPU,640000,0.380386,0.017826,4.168049,239.920418
GPU,640000,0.379518,0.017828,4.1684,239.900202
GPU,640000,0.38013,0.017801,4.168036,239.921138
GPU,640000,0.380335,0.017865,4.169158,239.85659
GPU,640000,0.379494,0.018116,4.167776,239.936129
GPU,640000,0.379639,0.017839,4.169176,239.855559
GPU,640000,0.380621,0.018065,4.167565,239.948291
GPU,640000,0.379401,0.017903,4.140839,241.496928
GPU,640000,0.37984,0.017899,4.169082,239.860953
GPU,640000,0.379934,0.017839,4.167769,239.936513
GPU,640000,0.379226,0.017911,4.168685,239.8838
GPU,640000,0.379947,0.017792,4.168008,239.922769
GPU,640000,0.379234,0.017899,4.16858,239.889843
GPU,640000,0.380028,0.017856,4.167909,239.928477
